TEMPO;FO
0;88764
5;80125
10;80125
15;80125
20;80125
25;79003
30;79003
35;79003
40;79003
45;79003
50;79003
55;79003
60;79003
65;79003
70;79003
75;79003
80;79003
85;79003
90;79003
95;79003
100;79003
105;79003
110;79003
115;79003
120;79003
125;79003
130;79003
135;73794
140;73442
145;73442
150;73442
155;73442
160;73442
165;73442
170;73442
175;73442
180;73442
185;73442
190;73442
195;73442
200;73442
205;73442
210;73442
215;73442
220;73442
225;73442
230;73442
235;73442
240;73442
245;73442
250;73442
255;73442
260;73442
265;73442
270;73442
275;73442
280;73442
285;73442
290;73442
295;73442
300;73442
