TEMPO;FO
0;99033
5;94606
10;94255
15;94255
20;93281
25;93027
30;92029
35;92029
40;92029
45;92029
50;92029
55;92029
60;92029
65;92029
70;92029
75;92029
80;92029
85;92029
90;92029
95;92029
100;92029
105;92029
110;92029
115;92029
120;92029
125;92029
130;92029
135;92029
140;92029
145;92029
150;92029
155;92029
160;92029
165;92029
170;92029
175;92029
180;92029
185;92029
190;91437
195;91437
200;91437
205;91437
210;86731
215;86731
220;86731
225;86731
230;86731
235;86731
240;86731
245;86731
250;86731
255;86731
260;86731
265;86731
270;86731
275;86731
280;86731
285;86731
290;86731
295;86731
300;86731
