TEMPO;FO
0;103454
5;97777
10;92673
15;89165
20;87254
25;87098
30;87098
35;87098
40;87098
45;87098
50;87098
55;87098
60;87098
65;87098
70;87098
75;87098
80;87098
85;87098
90;87098
95;87098
100;87098
105;87098
110;87098
115;87098
120;87098
125;87098
130;87098
135;87098
140;87098
145;87098
150;87098
155;87098
160;87098
165;87098
170;87098
175;87098
180;87098
185;87098
190;87098
195;87098
200;87098
205;87098
210;87098
215;87098
220;87098
225;87098
230;87098
235;87098
240;87098
245;87098
250;87098
255;87098
260;87098
265;87098
270;87098
275;87098
280;87098
285;87098
290;87098
295;87098
300;87098
