TEMPO;FO
0;96163
5;80263
10;80263
15;80263
20;80263
25;80263
30;80263
35;80263
40;80263
45;80263
50;80263
55;80263
60;80263
65;80263
70;80263
75;80263
80;80263
85;80263
90;80263
95;80263
100;80263
105;80263
110;80263
115;80263
120;80263
125;80263
130;80263
135;80263
140;80263
145;80263
150;80263
155;80263
160;80263
165;80263
170;80263
175;80263
180;80263
185;80263
190;80263
195;78443
200;78443
205;76263
210;76006
215;76006
220;76006
225;76006
230;76006
235;76006
240;76006
245;76006
250;76006
255;76006
260;75430
265;75430
270;74457
275;74457
280;74457
285;74457
290;74457
295;74457
300;74457
