TEMPO;FO
0;97058
5;86979
10;86979
15;86979
20;86979
25;83885
30;83885
35;82539
40;82476
45;82476
50;82476
55;82476
60;82476
65;82476
70;82476
75;82476
80;82476
85;82476
90;82476
95;82476
100;82476
105;82476
110;82476
115;82476
120;82476
125;82476
130;82476
135;82476
140;82476
145;82476
150;82476
155;82476
160;82476
165;82476
170;82476
175;82476
180;82476
185;82476
190;82476
195;82476
200;81420
205;81420
210;81296
215;81296
220;81296
225;81296
230;81296
235;81296
240;81296
245;81296
250;81296
255;81296
260;81296
265;81296
270;81296
275;81296
280;81296
285;81296
290;81296
295;81296
300;81296
