TEMPO;FO
0;99517
5;91419
10;87649
15;87649
20;87649
25;87649
30;87649
35;87649
40;87649
45;87649
50;87649
55;87649
60;87649
65;87649
70;87649
75;87649
80;87649
85;87649
90;87649
95;87649
100;87649
105;87649
110;87649
115;87649
120;87649
125;86432
130;86432
135;86432
140;86432
145;85650
150;85650
155;85562
160;85562
165;85446
170;85446
175;85446
180;85446
185;85446
190;85446
195;85446
200;85446
205;85446
210;85446
215;85446
220;85446
225;85446
230;85446
235;85446
240;85446
245;85446
250;85446
255;85446
260;85446
265;85446
270;85446
275;85446
280;85446
285;85446
290;85446
295;85446
300;85446
