TEMPO;FO
0;97064
5;87645
10;87645
15;87645
20;83232
25;83232
30;82441
35;82387
40;82224
45;82224
50;82224
55;82224
60;82224
65;82224
70;82224
75;82224
80;82224
85;82224
90;82224
95;82224
100;82224
105;82224
110;82224
115;82224
120;82224
125;82224
130;82224
135;82224
140;82224
145;82224
150;82224
155;82224
160;82224
165;82224
170;82224
175;82224
180;82224
185;82224
190;82224
195;82224
200;82224
205;82224
210;82224
215;82224
220;82224
225;82224
230;82224
235;82224
240;82224
245;82224
250;82224
255;82224
260;82224
265;82224
270;82224
275;82224
280;82224
285;82224
290;82224
295;82224
300;82173
