TEMPO;FO
0;96209
5;83562
10;82237
15;80246
20;79349
25;79349
30;78211
35;78211
40;78211
45;78211
50;78211
55;78211
60;78211
65;78211
70;78211
75;78211
80;78211
85;78211
90;78211
95;78211
100;78211
105;78211
110;78211
115;78211
120;78211
125;78211
130;78211
135;78211
140;78211
145;78211
150;78211
155;78211
160;78211
165;78211
170;78211
175;78211
180;78211
185;78211
190;78211
195;78211
200;78211
205;78211
210;78211
215;78211
220;78211
225;78211
230;78211
235;78211
240;78211
245;78211
250;78211
255;78211
260;78211
265;78211
270;78211
275;78211
280;78211
285;78211
290;78211
295;78211
300;78211
