TEMPO;FO
0;146872
5;141169
10;141134
15;141134
20;141134
25;140368
30;140162
35;139809
40;139809
45;139809
50;139809
55;139809
60;139809
65;138720
70;138720
75;136858
80;135712
85;135712
90;135712
95;135712
100;135712
105;135712
110;135712
115;135712
120;135712
125;135712
130;135712
135;135712
140;135712
145;135712
150;135712
155;135712
160;135712
165;134993
170;134993
175;134993
180;134993
185;134993
190;134993
195;134993
200;134993
205;134993
210;134993
215;134993
220;134993
225;134993
230;134993
235;134993
240;134993
245;134993
250;134993
255;134993
260;134993
265;134993
270;134993
275;134993
280;134993
285;134993
290;134993
295;134993
300;134993
