TEMPO;FO
0;152125
5;141625
10;141210
15;141210
20;138307
25;138307
30;138307
35;137868
40;137776
45;137776
50;137776
55;137776
60;137776
65;136518
70;136518
75;136518
80;136518
85;136518
90;136518
95;136518
100;136518
105;136518
110;136518
115;136518
120;136518
125;136518
130;136518
135;136518
140;136518
145;136518
150;136518
155;136518
160;136518
165;136518
170;136518
175;136518
180;136518
185;136518
190;136518
195;136518
200;136518
205;136518
210;136518
215;136518
220;136518
225;136518
230;136518
235;136518
240;136518
245;136518
250;136518
255;136518
260;136518
265;136518
270;136518
275;136518
280;136518
285;136518
290;136518
295;136518
300;136518
