TEMPO;FO
0;149183
5;83676
10;83676
15;83676
20;83676
25;83676
30;83676
35;83676
40;83676
45;83676
50;83676
55;83676
60;83676
65;83676
70;83676
75;83676
80;83676
85;83676
90;83676
95;83676
100;83676
105;83676
110;80999
115;80999
120;80999
125;80999
130;80999
135;80999
140;80999
145;80999
150;80999
155;80999
160;80999
165;80999
170;80999
175;80999
180;80999
185;80999
190;80999
195;80999
200;80999
205;80999
210;80999
215;80999
220;80999
225;80999
230;80999
235;80999
240;80999
245;80999
250;80999
255;80999
260;80999
265;80999
270;80999
275;80999
280;80999
285;80999
290;80999
295;80397
300;80397
