TEMPO;FO
0;92416
5;86424
10;83163
15;82032
20;78127
25;78004
30;78004
35;76930
40;76886
45;76518
50;76479
55;76479
60;76479
65;76479
70;76479
75;76479
80;76479
85;76479
90;76479
95;76479
100;76479
105;76479
110;76479
115;76479
120;76479
125;76479
130;76479
135;76479
140;76479
145;76479
150;76479
155;76479
160;76479
165;76479
170;76479
175;76479
180;76479
185;76479
190;76479
195;76479
200;76479
205;76479
210;76479
215;76479
220;76479
225;76479
230;76479
235;76479
240;76479
245;76479
250;76479
255;76479
260;76479
265;76479
270;76479
275;76479
280;76479
285;76479
290;76479
295;76479
300;76479
