TEMPO;FO
0;91175
5;79519
10;79519
15;79234
20;79234
25;79234
30;79234
35;79234
40;79234
45;79234
50;79234
55;79234
60;79234
65;79234
70;79234
75;79234
80;79234
85;79234
90;79234
95;79234
100;79234
105;79234
110;79234
115;79234
120;79234
125;79234
130;79234
135;79234
140;79234
145;79234
150;79234
155;79234
160;79234
165;79234
170;79234
175;79234
180;79234
185;79234
190;79234
195;79234
200;79234
205;79234
210;79234
215;79234
220;79234
225;79234
230;79234
235;79234
240;79234
245;79234
250;79234
255;79234
260;79234
265;79234
270;79234
275;78916
280;77722
285;77499
290;77499
295;77499
300;77499
