TEMPO;FO
0;85558
5;81249
10;80185
15;80185
20;79282
25;79282
30;78100
35;77905
40;77905
45;77905
50;77905
55;77905
60;77905
65;77905
70;77905
75;77905
80;77905
85;77905
90;77905
95;77905
100;77905
105;77905
110;77905
115;77905
120;77905
125;77905
130;77905
135;77905
140;77905
145;77905
150;77905
155;77905
160;77905
165;77905
170;77905
175;77905
180;77905
185;77905
190;77905
195;77905
200;77905
205;77905
210;77905
215;77905
220;77905
225;77905
230;77905
235;77905
240;77905
245;77905
250;77905
255;77905
260;77905
265;77905
270;77905
275;77905
280;77905
285;77905
290;77905
295;77905
300;77905
