TEMPO;FO
0;89834
5;80449
10;79502
15;79502
20;79502
25;79502
30;79502
35;79188
40;79188
45;79102
50;79102
55;79102
60;78503
65;78207
70;78205
75;78205
80;78205
85;78205
90;78205
95;78205
100;78205
105;78205
110;78205
115;78205
120;78205
125;78205
130;78205
135;78205
140;78205
145;78205
150;78205
155;78205
160;78205
165;78205
170;78205
175;78205
180;78205
185;77346
190;77346
195;77346
200;77346
205;77346
210;77346
215;77346
220;77346
225;76999
230;76999
235;76999
240;76999
245;76999
250;76999
255;76999
260;76999
265;76999
270;76999
275;76999
280;76999
285;76999
290;76999
295;76999
300;76999
