TEMPO;FO
0;172965
5;97518
10;94208
15;94208
20;94208
25;94208
30;94208
35;94208
40;94208
45;94208
50;94208
55;94208
60;94208
65;94208
70;94208
75;94208
80;94208
85;94208
90;94208
95;94208
100;92912
105;92912
110;92912
115;92912
120;92912
125;92912
130;92912
135;92912
140;92912
145;92912
150;92912
155;92912
160;92912
165;92912
170;92912
175;92912
180;92912
185;92912
190;92912
195;92912
200;92912
205;92912
210;92912
215;92912
220;92912
225;92912
230;92912
235;92912
240;92912
245;92912
250;92912
255;92912
260;92912
265;92912
270;92912
275;92912
280;92912
285;92912
290;92912
295;92912
300;92912
