TEMPO;FO
0;248034
5;144695
10;144695
15;144695
20;144695
25;144695
30;144096
35;144096
40;144096
45;144096
50;144096
55;144096
60;144096
65;144096
70;144096
75;144096
80;144096
85;144096
90;142854
95;142854
100;142854
105;142854
110;142854
115;142854
120;142450
125;142450
130;142450
135;142450
140;142450
145;141113
150;141113
155;141113
160;141113
165;141113
170;141113
175;141113
180;141113
185;141113
190;141113
195;141113
200;141113
205;141113
210;141113
215;141113
220;141113
225;141113
230;141113
235;139216
240;139216
245;139216
250;139216
255;139216
260;139216
265;139216
270;139216
275;139216
280;139216
285;139216
290;139216
295;139216
300;139216
