TEMPO;FO
0;154086
5;91778
10;90721
15;90315
20;90315
25;90315
30;86668
35;86668
40;86668
45;86668
50;86668
55;86668
60;86668
65;86668
70;86668
75;86668
80;86668
85;86668
90;86668
95;86668
100;86497
105;86497
110;86497
115;86497
120;86497
125;86497
130;86497
135;86497
140;86497
145;86497
150;86497
155;86497
160;86497
165;86497
170;86497
175;86497
180;86497
185;86497
190;86497
195;86497
200;86497
205;86497
210;86497
215;86497
220;86497
225;86497
230;86497
235;86497
240;86497
245;86497
250;86497
255;86497
260;86431
265;86431
270;86431
275;86431
280;86431
285;86431
290;86431
295;86431
300;86431
