TEMPO;FO
0;153597
5;88618
10;88479
15;87074
20;87074
25;87074
30;87074
35;87074
40;87074
45;87074
50;87074
55;87074
60;87074
65;87074
70;87074
75;87074
80;87074
85;87074
90;87074
95;87074
100;87074
105;84532
110;84532
115;84532
120;84532
125;84532
130;84532
135;84532
140;84532
145;84532
150;84532
155;84532
160;84532
165;84532
170;84532
175;84532
180;84532
185;84532
190;84532
195;84532
200;84532
205;84532
210;84532
215;84532
220;84532
225;84532
230;84532
235;84532
240;84532
245;84532
250;84532
255;84532
260;84532
265;84532
270;84532
275;84532
280;84532
285;84532
290;84532
295;84532
300;84532
