TEMPO;FO
0;108384
5;98062
10;98062
15;98062
20;98062
25;98032
30;98032
35;97816
40;97816
45;97816
50;97816
55;96986
60;96986
65;96986
70;95842
75;95842
80;95842
85;95842
90;95842
95;95842
100;95842
105;95842
110;94123
115;94123
120;94123
125;94123
130;94123
135;94123
140;94123
145;94123
150;94123
155;94123
160;94123
165;94123
170;94123
175;94123
180;94123
185;94123
190;94123
195;94123
200;94123
205;94123
210;94123
215;94123
220;94123
225;94123
230;94123
235;94123
240;94123
245;94123
250;94123
255;94123
260;94123
265;94123
270;94123
275;94123
280;94123
285;94123
290;94123
295;94123
300;94123
