TEMPO;FO
0;94255
5;87368
10;87368
15;87368
20;87368
25;87368
30;87368
35;87368
40;87368
45;87368
50;87368
55;87368
60;87368
65;86240
70;86240
75;86240
80;86240
85;86240
90;86240
95;85012
100;85012
105;85012
110;85012
115;85012
120;85012
125;85012
130;85012
135;85012
140;85012
145;85012
150;85012
155;85012
160;85012
165;85012
170;85012
175;85012
180;84546
185;84546
190;84546
195;84546
200;84546
205;84546
210;84546
215;84546
220;84546
225;84546
230;84546
235;84546
240;83985
245;83985
250;83985
255;83985
260;83985
265;83985
270;83985
275;83985
280;83985
285;83985
290;83985
295;83985
300;83985
