TEMPO;FO
0;97085
5;88252
10;88252
15;86682
20;86682
25;86682
30;86682
35;86682
40;83973
45;83973
50;83973
55;83973
60;83973
65;83973
70;83973
75;83973
80;83973
85;83973
90;83973
95;83973
100;83973
105;83973
110;83973
115;83973
120;83973
125;83973
130;83973
135;83973
140;81521
145;81521
150;81521
155;81521
160;81521
165;81521
170;81521
175;81521
180;81521
185;81521
190;81521
195;81521
200;81521
205;81521
210;81521
215;81521
220;81521
225;81521
230;81521
235;81521
240;81521
245;81521
250;81521
255;81521
260;81521
265;81521
270;81521
275;81521
280;81521
285;81521
290;81521
295;81521
300;81521
