TEMPO;FO
0;98854
5;92198
10;89961
15;89961
20;88995
25;88995
30;88995
35;88995
40;88995
45;88995
50;88995
55;88995
60;88995
65;88995
70;88995
75;88995
80;87651
85;87651
90;87651
95;87651
100;87651
105;87651
110;87651
115;87651
120;87651
125;87651
130;87651
135;87651
140;87651
145;87651
150;87651
155;87651
160;87651
165;87651
170;87651
175;87651
180;87651
185;87651
190;87651
195;87651
200;87651
205;87651
210;87651
215;87651
220;87651
225;87566
230;87566
235;87566
240;87566
245;87566
250;87566
255;87566
260;87566
265;87566
270;87566
275;87566
280;87566
285;87566
290;87566
295;87566
300;87566
