TEMPO;FO
0;97093
5;78049
10;78049
15;78049
20;78049
25;78049
30;78049
35;78049
40;78049
45;78049
50;78049
55;78049
60;78049
65;78049
70;78049
75;78049
80;78049
85;78049
90;78049
95;78049
100;78049
105;78049
110;78049
115;78049
120;78049
125;78049
130;78049
135;78049
140;78049
145;78049
150;78049
155;78049
160;78049
165;78049
170;78049
175;78049
180;78049
185;78049
190;78049
195;78049
200;78049
205;78049
210;78049
215;78049
220;78049
225;78049
230;78049
235;78049
240;78049
245;78049
250;78049
255;78049
260;78049
265;78049
270;78049
275;78049
280;78049
285;78049
290;78049
295;78049
300;78049
