TEMPO;FO_media;FO_min;FO_max
0;96428.1;91607;100175
5;85892.4;78055;88448
10;83975.9;78003;88206
15;83414.4;78003;88048
20;83199.1;78003;88048
25;82992.6;78003;87581
30;82670.6;78003;87378
35;82027.3;78003;87378
40;81793.2;78003;87378
45;81724.9;78003;87378
50;81423.2;78003;87378
55;81379.8;78003;87378
60;81379.8;78003;87378
65;81379.8;78003;87378
70;81379.8;78003;87378
75;81379.8;78003;87378
80;81379.8;78003;87378
85;81379.8;78003;87378
90;81379.8;78003;87378
95;81379.8;78003;87378
100;81379.8;78003;87378
105;81379.8;78003;87378
110;81379.8;78003;87378
115;81379.8;78003;87378
120;81379.8;78003;87378
125;81379.8;78003;87378
130;81379.8;78003;87378
135;81379.8;78003;87378
140;81089.2;78003;86460
145;81080.2;78003;86460
150;81080.2;78003;86460
155;81080.2;78003;86460
160;81080.2;78003;86460
165;81080.2;78003;86460
170;81080.2;78003;86460
175;81080.2;78003;86460
180;81080.2;78003;86460
185;81015.7;77862;86460
190;81015.7;77862;86460
195;81015.7;77862;86460
200;81015.7;77862;86460
205;81015.7;77862;86460
210;81015.7;77862;86460
215;81015.7;77862;86460
220;81015.7;77862;86460
225;81015.7;77862;86460
230;81015.7;77862;86460
235;81015.7;77862;86460
240;81015.7;77862;86460
245;81015.7;77862;86460
250;81015.7;77862;86460
255;81015.7;77862;86460
260;81015.7;77862;86460
265;81015.7;77862;86460
270;81015.7;77862;86460
275;81015.7;77862;86460
280;81015.7;77862;86460
285;81015.7;77862;86460
290;81015.7;77862;86460
295;81015.7;77862;86460
300;81015.7;77862;86460
