TEMPO;FO
0;91081
5;77537
10;76502
15;75915
20;75770
25;75770
30;75770
35;75770
40;75770
45;75770
50;75396
55;75396
60;75396
65;75396
70;75396
75;75396
80;75396
85;75396
90;75396
95;75396
100;75396
105;75396
110;75396
115;75396
120;75396
125;75293
130;75293
135;75293
140;75293
145;75293
150;75262
155;75262
160;75262
165;75262
170;75262
175;75262
180;75262
185;75262
190;75262
195;75262
200;75262
205;75262
210;75262
215;75262
220;75262
225;75262
230;75262
235;75262
240;75262
245;75262
250;75262
255;75262
260;75262
265;75262
270;75262
275;75262
280;75262
285;75262
290;75262
295;75262
300;75262
