TEMPO;FO
0;90309
5;79972
10;79972
15;79972
20;78573
25;78573
30;78573
35;78573
40;78573
45;78498
50;78498
55;78498
60;78498
65;78498
70;78498
75;78498
80;78498
85;78498
90;78498
95;78498
100;78498
105;78498
110;78405
115;78405
120;78405
125;78405
130;78405
135;78405
140;78405
145;78231
150;78231
155;78231
160;78231
165;78231
170;78231
175;78231
180;78231
185;78231
190;78231
195;78231
200;78231
205;78231
210;78231
215;78231
220;78231
225;78231
230;78231
235;78231
240;78231
245;78231
250;78231
255;78231
260;78231
265;78231
270;78231
275;78231
280;78231
285;78231
290;78231
295;78231
300;78231
