TEMPO;FO
0;102930
5;95452
10;94205
15;93930
20;93930
25;93930
30;93930
35;93324
40;93324
45;93172
50;91627
55;91627
60;91627
65;90605
70;90605
75;90605
80;90605
85;90605
90;90605
95;90605
100;90605
105;90605
110;90605
115;90605
120;90605
125;90605
130;90605
135;90605
140;90605
145;90605
150;90605
155;90605
160;90605
165;90605
170;90328
175;90328
180;90328
185;90328
190;90328
195;90328
200;90328
205;90328
210;90328
215;90328
220;89912
225;89912
230;89871
235;89871
240;89871
245;89871
250;89871
255;89871
260;89871
265;89871
270;89871
275;89871
280;89871
285;89871
290;89871
295;89871
300;89871
