TEMPO;FO
0;101369
5;94929
10;93607
15;93607
20;93607
25;93607
30;93607
35;87421
40;86868
45;86868
50;86868
55;86868
60;86868
65;86868
70;86868
75;86868
80;86868
85;86868
90;86868
95;86868
100;86868
105;86868
110;86868
115;86868
120;86868
125;86868
130;86868
135;86868
140;86868
145;86868
150;86868
155;86868
160;86868
165;86868
170;86868
175;86868
180;86868
185;86868
190;86868
195;86868
200;86868
205;86868
210;86868
215;86868
220;86868
225;86868
230;86868
235;86868
240;86868
245;86868
250;86868
255;86868
260;86868
265;86868
270;86868
275;86868
280;86868
285;86868
290;86868
295;86868
300;86868
