TEMPO;FO
0;89085
5;81392
10;76165
15;75188
20;75188
25;75188
30;75188
35;75188
40;75188
45;75188
50;75188
55;75188
60;75188
65;75188
70;75188
75;75188
80;75188
85;75188
90;75188
95;75188
100;75188
105;75188
110;75188
115;75188
120;75188
125;75188
130;75188
135;75188
140;75188
145;75188
150;75188
155;75188
160;75188
165;75188
170;75188
175;75188
180;75188
185;75188
190;75188
195;75188
200;75188
205;75188
210;75188
215;75188
220;75188
225;75188
230;75188
235;75188
240;75188
245;75188
250;75188
255;75188
260;75188
265;75188
270;75188
275;75188
280;75188
285;75151
290;75151
295;75151
300;75151
