TEMPO;FO
0;92872
5;81845
10;80368
15;80272
20;74951
25;74797
30;74797
35;74797
40;74797
45;74797
50;74797
55;74797
60;74797
65;74797
70;74797
75;74797
80;74797
85;74797
90;74797
95;74797
100;74797
105;74797
110;74797
115;74797
120;74797
125;74797
130;74797
135;74797
140;74797
145;74797
150;74797
155;74797
160;74797
165;74797
170;74797
175;74797
180;74797
185;74797
190;74797
195;74797
200;74797
205;74797
210;74797
215;74797
220;74797
225;74797
230;74797
235;74797
240;74797
245;74797
250;74257
255;74257
260;74257
265;74257
270;74246
275;74246
280;74246
285;74246
290;74246
295;74246
300;74246
