edicao,temporada,alvo_0pct,alvo_2pct,alvo_5pct
feminina,21-22,76282,74756,72467
feminina,22-23,79195,77611,75235
feminina,23-24,80007,78406,76006
feminina,24-25,91014,89193,86463
masculina,21-22,81592,79960,77512
masculina,22-23,135027,132326,128275
masculina,23-24,89293,87507,84828
masculina,24-25,77591,76039,73711
