TEMPO;FO
0;157671
5;138914
10;138821
15;136394
20;136394
25;136394
30;136394
35;136394
40;136394
45;136394
50;136394
55;136394
60;136394
65;136394
70;136394
75;136394
80;136394
85;136394
90;136394
95;136394
100;136394
105;136394
110;136394
115;136394
120;136394
125;136394
130;136394
135;136394
140;136394
145;136394
150;136394
155;136394
160;136394
165;136394
170;136394
175;136394
180;136394
185;136394
190;136394
195;136394
200;136394
205;136394
210;136394
215;136394
220;136394
225;136394
230;136394
235;136394
240;136394
245;136394
250;136394
255;136394
260;136394
265;136394
270;136394
275;136394
280;136394
285;136394
290;136394
295;136394
300;136394
