TEMPO;FO
0;107394
5;89894
10;89894
15;89894
20;89894
25;89894
30;89894
35;89894
40;89542
45;89542
50;89542
55;89542
60;89542
65;89542
70;89542
75;89542
80;89542
85;89542
90;89542
95;89542
100;89542
105;89542
110;89542
115;89542
120;89542
125;89542
130;89542
135;89542
140;89542
145;89542
150;89542
155;88927
160;87981
165;87981
170;87981
175;86403
180;86403
185;85229
190;85229
195;85229
200;85229
205;85229
210;85229
215;85229
220;85229
225;85229
230;85229
235;85229
240;85229
245;85229
250;85229
255;85229
260;85229
265;85229
270;85229
275;85229
280;85229
285;85229
290;85229
295;85229
300;85229
