TEMPO;FO
0;93157
5;87889
10;86477
15;86477
20;83067
25;83067
30;83067
35;83067
40;81397
45;81380
50;81380
55;81380
60;81380
65;81380
70;81380
75;81380
80;81380
85;81380
90;81380
95;81380
100;81380
105;81380
110;81380
115;81380
120;81380
125;81380
130;81380
135;81380
140;81380
145;81380
150;81380
155;81380
160;81380
165;81380
170;81380
175;81380
180;81380
185;81380
190;81380
195;81380
200;81380
205;81380
210;81380
215;81380
220;81380
225;81380
230;81380
235;81380
240;81380
245;81380
250;81380
255;81380
260;81380
265;81380
270;81380
275;81380
280;81380
285;81380
290;81380
295;81380
300;81380
