TEMPO;FO
0;93047
5;83905
10;82106
15;82106
20;75065
25;73615
30;72998
35;72998
40;72998
45;72998
50;72998
55;72998
60;72998
65;72998
70;72998
75;72998
80;72998
85;72998
90;72998
95;72998
100;72998
105;72998
110;72998
115;72998
120;72998
125;72998
130;72998
135;72998
140;72998
145;72998
150;72998
155;72998
160;72998
165;72998
170;72998
175;72998
180;72998
185;72998
190;72998
195;72998
200;72998
205;72998
210;72998
215;72998
220;72998
225;72998
230;72998
235;72998
240;72998
245;72998
250;72998
255;72998
260;72998
265;72998
270;72998
275;72998
280;72998
285;72998
290;72998
295;72998
300;72998
