TEMPO;FO
0;90950
5;86615
10;86615
15;86114
20;84319
25;82979
30;82979
35;82979
40;82979
45;82242
50;82242
55;82242
60;82242
65;82242
70;82242
75;82242
80;82242
85;82242
90;82242
95;82242
100;82242
105;82242
110;82242
115;82242
120;82242
125;82242
130;82242
135;82242
140;82242
145;82242
150;82242
155;82242
160;82242
165;82242
170;82242
175;82242
180;82242
185;82242
190;82242
195;82242
200;82242
205;82242
210;82242
215;82242
220;82242
225;82242
230;82242
235;82242
240;82242
245;82242
250;82242
255;82242
260;82242
265;82242
270;82242
275;82242
280;82242
285;82242
290;82242
295;82242
300;82242
