TEMPO;FO
0;148836
5;140794
10;140794
15;140794
20;140794
25;140794
30;140297
35;140297
40;140297
45;140297
50;140297
55;140297
60;140297
65;140297
70;140297
75;140297
80;140297
85;140297
90;140297
95;140297
100;140297
105;140297
110;140297
115;140297
120;140297
125;140297
130;140297
135;140297
140;140297
145;140297
150;140297
155;140297
160;140297
165;140297
170;140297
175;140297
180;140297
185;140297
190;140297
195;140297
200;140297
205;140297
210;140297
215;140297
220;140297
225;140297
230;140297
235;140297
240;140297
245;140297
250;140297
255;140297
260;140297
265;140297
270;140297
275;140297
280;140297
285;140297
290;140297
295;140297
300;140297
