TEMPO;FO
0;91810
5;84954
10;84954
15;84954
20;84954
25;84954
30;84954
35;84954
40;84954
45;84954
50;84954
55;84954
60;84954
65;84873
70;84433
75;84433
80;82878
85;82878
90;82878
95;82878
100;82878
105;82685
110;82685
115;82685
120;82685
125;82685
130;82685
135;82685
140;82685
145;82685
150;82685
155;82685
160;82685
165;82685
170;82685
175;82685
180;82685
185;82685
190;82685
195;82685
200;82685
205;82685
210;82685
215;82685
220;82685
225;82685
230;82685
235;81664
240;81664
245;81664
250;81664
255;81664
260;81664
265;81664
270;81664
275;81664
280;81664
285;81664
290;81664
295;81664
300;81664
