TEMPO;FO
0;141476
5;87543
10;86567
15;86479
20;86479
25;85735
30;85735
35;85326
40;85326
45;85326
50;85326
55;84380
60;84380
65;83319
70;83319
75;83319
80;83319
85;83319
90;83319
95;83319
100;83319
105;81543
110;81543
115;81543
120;81543
125;81543
130;81543
135;81543
140;81543
145;81543
150;81543
155;81543
160;81543
165;81543
170;81543
175;81543
180;81543
185;81543
190;81543
195;81543
200;81543
205;81543
210;81543
215;81543
220;81543
225;81543
230;81543
235;81543
240;81543
245;81543
250;77497
255;77497
260;77497
265;77497
270;77497
275;77497
280;77497
285;77497
290;77497
295;77497
300;77497
